"gene_name","log2FoldChange","padj","Significance"
"AC006023.1",2.19526979246274,0.000537945396428877,"Upregulated"
"LINC02097",1.62999548161767,0.000538406968892864,"Upregulated"
"AC025043.1",1.1521049456979,0.000538891074321159,"Upregulated"
"DUXAP7",2.18237243601386,0.000540383400061372,"Upregulated"
"AL158207.2",2.19810692312398,0.000540922677456451,"Upregulated"
"AP001357.2",1.56630888100039,0.000540922677456451,"Upregulated"
"MTND4P15",1.52131030402568,0.000543396442539229,"Upregulated"
"AC090519.1",1.49390668086064,0.000544127192652812,"Upregulated"
"LINC02112",1.71765132703581,0.000544944771818268,"Upregulated"
"AC092117.2",1.03333681045276,0.000545840650739192,"Upregulated"
"MAGI1-AS1",2.51919206481036,0.000546577970119317,"Upregulated"
"AL353803.4",1.18931831606075,0.000548056353611594,"Upregulated"
"MT-TV",1.5344799126127,0.000549927708307829,"Upregulated"
"AC023157.1",1.60486156125312,0.000552413996557344,"Upregulated"
